"ID","TCODE","SCREENS_ID","SELECTION","HIDEFLG","SEQNO","ROWPOS","COLPOS","PARAGRAPH","WIDTH","TYPE","DATAPRECISION","DATASCALE","INDISP","SUBINDISP","EDITABLE","MAXVALUE","MINVALUE","EDOPTSIZE","EDOPTMAXLENGTH","RUBYCODE","EDOPTMULTIPLE","EDOPTROW","EDOPTCOLS","EDOPTVALUE","TBLKEY","SUMKEY","CRTFIELD","EXPIREDATE","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","UPDATED_AT"
1099,"screenfield_seqno",27,1,0,30,9,1,0,132,"number",4,0,0,0,1,0,0,22,22,,0,0,0,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:17:00,2013/07/05 3:24:01
1100,"screenfield_rowpos",27,1,0,40,10,1,0,132,"number",4,0,0,0,1,0,0,22,22,,0,0,0,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:17:00,2013/07/05 3:25:51
1101,"screenfield_colpos",27,1,0,50,10,2,0,132,"number",4,0,0,0,1,0,0,22,22,,0,0,0,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:17:00,2013/07/05 22:21:37
1147,"fieldcode_ftype",61,1,0,20,2,1,0,90,"select",0,0,0,0,1,0,0,15,15,,0,0,0,"[[],[:varchar2,""varchar2""],[:date,""date""],[""timestamp(6)"",""timestamp(6)""],[:number,""number""],[:char,""char""]]",,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:18:52,2013/07/05 22:46:21
1170,"screenfield_width",27,1,0,888,9,2,0,132,"number",4,0,0,0,1,0,0,22,22,,0,0,0,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:29:45,2013/07/05 22:16:16
1171,"screenfield_type",27,1,0,60,5,1,0,72,"varchar2",0,0,0,0,1,0,0,12,12,,0,0,0,,,,,2099/12/31,"edittype: defines the type of of the editable field. Possible values: 'text', 'textarea', 'select', 'checkbox'. The default value is 'text'.
小文字",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 3:29:45,2013/07/07 23:32:44
1201,"fieldcode_expiredate",61,1,0,100,10,1,0,60,"date",0,0,0,0,1,0,0,10,7,,0,0,0,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 22:41:24,2013/07/05 22:46:42
1217,"fieldcode_fieldlength",61,1,0,30,4,1,0,132,"number",4,0,0,0,1,0,0,22,22,,0,0,0,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 22:41:24,2013/07/05 22:47:52
1218,"fieldcode_datapresion",61,1,0,60,5,2,0,132,"number",2,0,0,0,1,0,0,22,22,,0,0,0,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 22:41:24,2013/07/05 22:48:17
1219,"fieldcode_datascale",61,1,0,50,5,1,0,132,"number",2,0,0,0,1,0,0,22,22,,0,0,0,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 22:41:24,2013/07/05 22:47:32
1220,"fieldcode_contens",61,1,0,888,20,1,0,200,"textarea",0,0,0,0,1,0,0,200,200,,0,2,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 22:41:24,2013/07/05 22:49:53
1221,"fieldcode_remark",61,1,0,888,21,1,0,300,"textarea",0,0,0,0,1,0,0,200,200,,0,2,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 22:41:24,2013/07/05 22:50:33
1222,"fieldcode_rubycode",61,1,0,888,22,1,0,200,"textarea",0,0,0,0,1,0,0,4000,4000,,0,10,80,,,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/05 22:41:24,2013/07/05 22:50:45
1285,"pobject_objecttype",22,1,0,30,1,2,0,20,"select",0,0,0,0,1,0,0,10,10,,0,0,0,"[[:tbl_field,'table_field'],[:view_field,'view_field'],[:screen,'SCREEN'],[:report,'REPORTS'],[:tbl,'TABLE'],[:view,'view'],[:submit,'SUBMIT'],[:fix_char,'FIX_CHAR'],[:err_msg,'MSG']]",,,,2099/12/31,"auto_crt",0,"fe80::442f:5ae8:6e40:d61e%13",2013/07/06 9:59:50,2013/07/13 15:11:52
